row_id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,is_anomaly
row-0000,1.17132236,-0.18565421,-0.32807236,0.60991311,-1.00678566,-1.37777169,-0.31756098,-1.41857361,0
row-0001,-0.73409363,-0.45224707,-0.49946608,1.03835420,0.57005797,1.37170316,-0.93548243,-0.13904840,0
row-0002,0.92872013,1.10998441,-1.87531252,2.01625235,0.25901580,0.95236362,0.26720227,-1.16029062,0
row-0003,1.01047434,1.12221932,-0.50296530,1.46082522,1.05026730,0.80063960,0.02245063,-0.53467153,0
row-0004,0.00083787,-1.55654061,-1.34704439,-1.12194940,-2.57854980,-0.62863880,0.08531684,1.05046029,0
row-0005,1.38240140,0.73724756,-0.01162390,1.68848059,0.65610068,-0.57266496,-0.37145715,0.93688834,0
row-0006,-0.32624322,1.72159200,0.13577852,-0.44781452,1.93970978,1.39498386,0.43207184,-0.26052298,0
row-0007,1.07386513,1.63131407,-3.44571796,0.92556098,-0.34130591,0.54507707,-0.34066733,-0.89421022,0
row-0008,-0.33425646,1.07418070,0.45830304,-2.95621793,1.37734047,0.35294992,0.75567509,0.71258195,0
row-0009,1.55518143,2.29230132,-1.02687816,-0.29139284,-1.22178160,0.37580035,-0.31975573,-2.17937755,1
row-0010,-1.33152482,-1.69473329,-1.09557557,1.39566587,0.52595628,-0.99736675,0.66677970,-0.00037849,0
row-0011,0.83920843,-0.03552389,-0.22049244,-0.96607495,0.51480179,0.52282119,-0.58046335,-0.74991226,0
row-0012,0.18369018,0.79403332,0.86614043,-0.74641081,0.78525569,0.48203814,0.25284771,-0.58251437,0
row-0013,0.30276607,2.95247456,0.37415605,0.10401053,-2.19899731,-0.24620234,1.27553460,1.16447652,0
row-0014,-0.69761218,-1.31264551,-0.99536619,0.66835608,-0.00575818,0.25806233,0.29542904,0.73835961,0
row-0015,2.76561406,0.94711420,2.46403750,-0.59431610,-0.77616346,-1.36753517,-0.78771906,-0.25592983,0
row-0016,0.23687980,-0.51668043,-1.56225235,0.43484622,0.84151737,0.46750225,2.86332032,0.19202516,0
row-0017,-0.16871008,0.41386445,-1.37982774,-0.19241845,0.32425472,-0.05617192,0.27548810,-0.24520333,1
row-0018,-0.56296537,-1.91145970,0.78844015,-1.10187942,0.70478779,0.61622653,0.61876226,1.00045922,0
row-0019,0.11241344,0.29516046,0.41205248,-1.11303199,-1.45542386,-0.89548626,0.81454700,0.85691051,0
row-0020,0.23369479,0.04722190,-0.74437577,1.22742183,1.98799430,0.37267370,2.39882393,-0.81173109,0
row-0021,0.33936055,0.24654546,0.89662607,-0.21694035,-0.97609439,-0.97636871,1.19173801,0.79281540,0
row-0022,-1.64429515,-0.10853121,1.90720053,0.74095415,-0.52423033,0.25755224,-0.13341857,0.26983064,0
row-0023,0.91024533,-0.76306588,0.08581163,0.68519228,-1.24742767,-0.60758645,2.05890952,0.39659243,0
row-0024,-1.67840855,-1.20331862,1.46807341,0.35992820,-0.95525660,-1.46294699,0.43957629,0.56592031,0
row-0025,0.20146879,0.80994107,0.92074510,1.56085953,-1.25504661,2.69711957,-0.56888705,0.83291378,0
row-0026,-0.81965004,0.64080822,0.46608599,0.78466164,0.76059951,0.20405351,0.24944630,1.88165424,0
row-0027,-2.34680616,0.79110866,1.98404405,-1.05553409,1.46166404,-0.64617806,0.21746523,0.54758614,0
row-0028,1.09984640,1.63516534,-1.44925107,0.84384644,0.53588645,-0.71551738,0.19704560,-0.27352669,0
row-0029,-0.35601345,1.21249140,0.98437879,-1.24706556,-0.02854250,0.12492948,0.41853119,0.33529412,0
row-0030,0.62611501,-0.31044842,0.23449964,1.21882200,0.40584431,-0.53605391,0.62744866,-0.82676725,0
row-0031,-0.61630022,-0.07408168,-1.43892941,-0.96094883,0.31144954,0.32612774,-2.05636981,2.10346190,0
row-0032,-1.14604961,0.21321831,1.62221988,-0.23337411,0.16646813,1.53431897,0.38280548,0.40261250,0
row-0033,-0.20071819,0.90352304,2.19647399,1.78150455,-0.41704995,0.90794972,-1.43041516,-1.28524973,0
row-0034,-1.48510953,-1.85065711,0.41687243,-1.04747420,-0.43715298,0.89213126,0.09359839,0.80147712,0
row-0035,0.09062204,2.46302070,0.74573347,-1.01410988,-0.64443372,-0.44935357,-1.49529967,-2.21793740,0
row-0036,-0.88808185,0.64221814,0.71566528,-1.57975893,-0.24240419,0.15061780,-0.96643673,0.32411861,0
row-0037,-1.71619658,-1.15315682,0.76658282,1.00478922,-0.90063911,0.50415693,0.33723591,1.13130791,0
row-0038,-1.40961690,0.32982376,-1.01357812,-0.33172942,-1.16293372,-3.28729518,-1.32276651,-0.96358381,0
row-0039,0.93330481,-0.20602300,-1.41893899,-0.25979000,-0.90324476,-1.79689347,-0.76060205,-1.63622226,0
row-0040,0.75578196,0.70738492,-0.18380883,-0.71487445,2.27286548,1.70677934,-0.19103254,-0.42804615,0
row-0041,-2.32534540,-0.95001709,-1.64998273,-0.86611783,-0.14590661,-0.81084798,-1.12074122,-0.55760059,0
row-0042,0.33682040,-0.41313315,1.16875807,0.17753510,0.23331330,0.38988681,-0.11243967,1.29746930,0
row-0043,-0.67999900,-1.16375779,0.74720781,-0.70181374,-0.73647410,-0.30244785,1.27139570,1.04142484,0
row-0044,0.26327158,0.60720239,-0.45231298,0.04945941,0.45685310,-0.54662418,0.98997502,-0.22786464,0
row-0045,1.52599334,-0.95618846,1.12174035,1.21808391,0.83155006,-0.77453575,-0.98253284,-1.36201117,0
row-0046,0.40800036,1.46127610,0.77877375,-0.41877101,-0.59425201,-0.13842894,-1.94409971,2.19412448,0
row-0047,-0.72004303,1.30734971,0.01196154,-0.10974804,0.90797905,-1.50915230,0.64774671,1.53135704,0
row-0048,0.12871090,1.22084493,-0.07127992,-1.83418497,-1.38225125,-0.56055515,0.94727483,-0.76926194,0
row-0049,-0.63660986,-1.00607100,-0.40494793,-0.02112652,0.32365860,-0.83560958,-0.17109605,-1.43547771,0
row-0050,-0.15688824,-0.45827177,0.80192636,-0.29964071,-0.58264777,-1.09402253,-0.91616089,-0.87563735,0
row-0051,0.23414115,1.30702585,2.27347297,1.59547674,-2.32008909,0.33088029,0.98277885,0.04220178,0
row-0052,-0.55027694,-1.15508572,1.64784936,-0.69850211,-0.34424861,-0.46645363,0.56708750,-0.55273469,0
row-0053,-0.35965361,0.60263524,2.52401278,-0.97169635,0.19037943,-1.51920898,-1.52966494,-1.81885874,0
row-0054,-0.08381040,0.76694387,-0.09431503,-2.87924381,0.83691606,-1.09066322,1.10967543,1.43657693,0
row-0055,-0.42683279,-2.38372373,0.56200824,-1.50610905,-1.45030158,-0.99651153,-1.20997125,-0.19559109,0
row-0056,1.08583298,1.29626798,1.43535969,0.85079976,-0.58510512,-0.58377865,-0.13689886,0.65912969,1
row-0057,-0.11076792,-1.16257545,-2.54637711,0.45015302,-0.51870157,0.11364896,0.70005636,0.76397645,1
row-0058,-1.55250145,-1.22463367,-0.24646991,0.75918722,0.10450014,0.70097949,0.01328288,0.94127785,0
row-0059,0.17787359,-0.86257171,1.93395284,0.78344589,1.12601927,-0.09832759,-0.14548671,0.61293552,0
row-0060,1.75212999,0.32677804,-3.28196593,-1.48473482,1.49482704,-2.11606987,0.70912095,-0.29372974,0
row-0061,1.77422876,-0.25590952,1.32149202,1.47154314,2.30976738,2.13198473,-0.40849083,0.32491539,0
